day,word,meaning
DAY 01,abhor,"몹시 싫어하다, 혐오하다"
DAY 01,illicit,"불법의, 부정한; 불의의"
DAY 01,plausible,"타당한 것 같은, 이치에 맞는, 그럴듯한"
DAY 01,differ,"① 다르다② 의견이 다르다, 동의하지 않다"
DAY 01,request,"① (격식을 차려 정중히 하는) 요청; 청원서, 요청장, 요청서 ② 수요, 인기, 주문 ③요청하다, 요구하다"
DAY 01,shallow,"① 얕은② 천박한, 피상적인"
DAY 01,pact,"계약, 협정, 조약"
DAY 01,adequate,"적당한, 충분한"
DAY 01,zeal,"열의, 열중, 열심"
DAY 01,tacit,"무언의, 암묵적인"
DAY 01,settle,"① (논쟁 등을) 해결하다② (~에) 정착하다③ (주어야 할 돈을) 지불[계산]하다, 정산하다"
DAY 01,macabre,"무시무시한, 소름끼치는"
DAY 01,hail,"① 환호하여 맞이하다, ~에게 인사하다, 환영하다② ~을 큰 소리로 불러 세우다③  묘사하다[일컫다]"
DAY 01,ominous,"① 불길한, 나쁜 징조의② 전조(前兆)의③ (날씨가) 험악한"
DAY 01,churlish,"① 막된, 무례한② 인색한, 비열한, 돈에 눈이 먼"
DAY 01,react,"① 반작용하다; (상호) 작용하다, 영향을 미치다② ) 반응하다, 반응을 나타내다[to]③ 반대하다, 반항하다[against]"
DAY 01,similarity,"비슷함, 닮음, 유사; 유사성, 유사점, 닮은 점"
DAY 01,imminent,"(나쁜 일이) 금방이라도 닥칠 듯한, 절박한, 임박한"
DAY 01,memoir,"① 전기; (고인의) 언행록; (pl.) 회고록② 연구 보고, 논문"
DAY 01,wander,"① 돌아다니다, 헤매다, 방랑하다② (옆으로) 빗나가다, 길을 잃다; (이야기가) 옆길로 빗나가다; 탈선하다"
DAY 01,pecuniary,"① 금전적인, 재정상의② 벌금을 물려야 할"
DAY 01,sacred,신성한; 종교적인
DAY 01,guile,"교활; 간사한 꾀, 술책, 기만"
DAY 01,famous,"① 유명한, 고명한, 이름난② 멋진, 훌륭한, 뛰어난, 굉장히 좋은, 최고급의"
DAY 01,calamity,"재앙, 재난; 불행"
DAY 01,insist,"① (~해야 한다고) 고집하다[주장하다, 우기다]② (특히 다른 사람들이 믿지 않는 것을 사실이라고) 주장하다"
DAY 01,dogmatic,"① 독단적인, 고압적인② 교리의, 교의의"
DAY 01,polemic,"논쟁, 격론; 논객(論客)논쟁의, 논쟁을 좋아하는"
DAY 01,exceed,"① (특정한 수·양을) 넘다, 초과하다; (정도가) 도(度)를 넘다, 도를 지나치다② 우월하다, 능가하다, 뛰어나다"
DAY 01,amenable,"기꺼이 따르는, 순종하는, 잘 받아들이는 "
DAY 01,nihilism,"① 허무주의, 니힐리즘② 무정부주의"
DAY 01,homely,"① (사람의 외모가) 매력 없는, 못생긴② (여자가) 가정적인③ (자기 집처럼) 아늑한, 편안한"
DAY 01,commit,"① (죄·과실 등을) 저지르다, 범하다② 위임하다, 맡기다③ 약속하다, 맹세하다④ (일·활동 등에) 전념[헌신]하다"
DAY 01,bogus,"가짜의, 위조의"
